station_id,variable,proposed_value,units,description,category,basis,source,confidence,notes
US-HBK,Phy,10000,kPa,Matric potential defining the hygroscopic (residual) water content,soil_mesh_and_solver,carried from the evergreen table (not a scalar in the source file),Fatichi et al. (2012a),tc_model_description,
US-HBK,Zs,[0 10 20 50 100 150 200 300 400 500 600 700 800 1000],mm,Soil layer interface depths; length must equal ms+1,soil_mesh_and_solver,carried from the evergreen table (not a scalar in the source file),MOD_PARAM_US_xRM.m,code_comment,13 layers to 1 m. CLAUDE.md 6 flags 1 m as TOO SHALLOW for deep-rooted forest - deepen per site (often 2-5 m) and keep ZR95_H <= the deepest layer.
US-HBK,Zdes,10,mm,Depth of the soil layer contributing to bare-soil evaporation,soil_mesh_and_solver,carried from the evergreen table (not a scalar in the source file),Fatichi et al. (2012a),tc_model_description,
US-HBK,Zinf,10,mm,Depth of the infiltration control layer,soil_mesh_and_solver,carried from the evergreen table (not a scalar in the source file),Fatichi et al. (2012a),tc_model_description,
US-HBK,Zbio,250,mm,Depth of the biologically active soil layer,soil_mesh_and_solver,carried from the evergreen table (not a scalar in the source file),Fatichi et al. (2012a),tc_model_description,
US-HBK,Oice,0,-,Initial soil ice content,soil_mesh_and_solver,carried from the evergreen table (not a scalar in the source file),MOD_PARAM_US_xRM.m,code_comment,
US-HBK,In_max_urb,5,mm,Maximum interception storage on urban surfaces,interception,deciduous broadleaf (Zurich High-layer block); identical in both reference files,MOD_PARAM_ZURICH_SMA.m (T&C v1.5 release; High-layer deciduous broadleaf block),code_comment,Inactive (Curb = 0).
US-HBK,In_max_rock,0.1,mm,Maximum interception storage on rock surfaces,interception,deciduous broadleaf (Zurich High-layer block); identical in both reference files,MOD_PARAM_ZURICH_SMA.m (T&C v1.5 release; High-layer deciduous broadleaf block),code_comment,Inactive (Crock = 0).
US-HBK,fpr,1,-,Fraction of precipitation reaching the cell,domain_geometry,carried from the evergreen table (not a scalar in the source file),MOD_PARAM_US_xRM.m,code_comment,
US-HBK,SvF,1,-,Sky view factor,domain_geometry,carried from the evergreen table (not a scalar in the source file),MOD_PARAM_US_xRM.m,code_comment,"1 = flat, unobstructed horizon. Revisit for steep/valley terrain."
US-HBK,SN,0,-,Stream identifier,domain_geometry,carried from the evergreen table (not a scalar in the source file),MOD_PARAM_US_xRM.m,code_comment,
US-HBK,Slo_pot,0,fraction dy/dx,Slope of the hydraulic potential per soil layer,domain_geometry,carried from the evergreen table (not a scalar in the source file),MOD_PARAM_US_xRM.m,code_comment,
US-HBK,Ared,1,-,Area reduction factor due to rock content (1 - Frock),domain_geometry,carried from the evergreen table (not a scalar in the source file),MOD_PARAM_US_xRM.m,code_comment,
US-HBK,aR,1,-,Anisotropy ratio of hydraulic conductivity (Kh/Kv),domain_geometry,carried from the evergreen table (not a scalar in the source file),MOD_PARAM_US_xRM.m,code_comment,
US-HBK,cellsize,1,m^2,Grid cell size for the plot-scale configuration,domain_geometry,carried from the evergreen table (not a scalar in the source file),MOD_PARAM_US_xRM.m,code_comment,
US-HBK,Kbot,NaN,mm/h,Hydraulic conductivity at the bedrock lower boundary,domain_geometry,carried from the evergreen table (not a scalar in the source file),MOD_PARAM_US_xRM.m,code_comment,NaN = free drainage. CLAUDE.md 6 warns this is WRONG for shallow-water-table or riparian sites.
US-HBK,Krock,NaN,mm/h,Hydraulic conductivity of fractured rock,domain_geometry,carried from the evergreen table (not a scalar in the source file),MOD_PARAM_US_xRM.m,code_comment,
US-HBK,a_dis,NaN,-,Rainfall disaggregation parameter,forcing_options,carried from the evergreen table (not a scalar in the source file),MOD_PARAM_US_xRM.m,code_comment,NaN = disaggregation off; forcing is already hourly.
US-HBK,pow_dis,NaN,-,Rainfall disaggregation exponent,forcing_options,carried from the evergreen table (not a scalar in the source file),MOD_PARAM_US_xRM.m,code_comment,NaN = disaggregation off.
US-Ha2,Lat,42.5393,degrees N,Site latitude (true tower coordinate),site,AmeriFlux registry (verified),"AmeriFlux site registry (site_display API, retrieved 2026-08-05)",verified,"Harvard Forest Hemlock Site | IGBP ENF | eastern hemlock, Tsuga canadensis | Koppen Dfb, MAT 6.56 degC, MAP 1071 mm"
US-Ha2,Lon,-72.1779,degrees E,Site longitude (true tower coordinate),site,AmeriFlux registry (verified),"AmeriFlux site registry (site_display API, retrieved 2026-08-05)",verified,"Harvard Forest Hemlock Site | IGBP ENF | eastern hemlock, Tsuga canadensis | Koppen Dfb, MAT 6.56 degC, MAP 1071 mm"
US-Ha2,Zbas,360,m a.s.l.,Site elevation for the radiation partition,site,AmeriFlux registry (verified),"AmeriFlux site registry (site_display API, retrieved 2026-08-05)",verified,"Harvard Forest Hemlock Site | IGBP ENF | eastern hemlock, Tsuga canadensis | Koppen Dfb, MAT 6.56 degC, MAP 1071 mm"
US-Ha2,Sl_H,0.01527,m^2/gC,"Specific leaf area, from the measured LMA",vegetation_structure,MEASURED AT SITE - BADM GRP_LMA: LMA = 131 g/m2,"AmeriFlux BADM (AMF_<site>_BIF, downloaded 2026-08-05)",verified,"Sl = 1/(LMA x f_C) = 1/(131 x 0.5) = 0.01527 m2/gC. IN-SITU GROUND TRUTH for the study's central variable, and within 10% of US_xRM's 0.017 - a sanity check on the whole LMA->SLA chain including f_C = 0.5. BADM note: 'based on projected leaf area; average over 3 canopy layers and 3 foliage age classes'. Use this to validate the PLSR LMA product at this site."
US-Ha2,hc_H,21,m,Canopy height of the High vegetation layer,vegetation_site,MEASURED AT SITE - BADM GRP_HEIGHTC: HEIGHTC = 21 m,"AmeriFlux BADM (AMF_<site>_BIF, downloaded 2026-08-05)",verified,Measured. US_xRM's 8 m would have been badly wrong for a mature hemlock stand. Check zatm > hc_H.
US-Ha2,LAI_H,4.4,m^2/m^2,Leaf area index - initial condition / spin-up target,initial_condition,MEASURED AT SITE - BADM GRP_LAI: LAI_TOT = 4.4,"AmeriFlux BADM (AMF_<site>_BIF, downloaded 2026-08-05)",verified,Measured. Close to US_xRM's 4.03. Use as the spin-up convergence target for LAI = Sl x B(1).
US-Ha2,Nl_H,35,kgC/kgN,Leaf carbon-to-nitrogen ratio,stoichiometry,MEASURED AT SITE - BADM GRP_BIOMASS_CHEM foliage N 1.18-1.67%,"AmeriFlux BADM (AMF_<site>_BIF, downloaded 2026-08-05)",proposed_estimate,"DERIVED, replaces the inherited 62. BADM reports hemlock foliage N of 11.8-16.7 g/kg (1.18-1.67%); at f_C = 0.5 that gives leaf C:N of about 30-42, mean ~35. US_xRM's 62 is a boreal black-spruce value. 35 also sits inside Table 3's 15-42, unlike 62. Drives maintenance respiration - worth getting right."
US-Ha2,TBio_H,260,ton DM/ha,Total standing biomass,vegetation_site,MEASURED AT SITE - BADM GRP_AG_BIOMASS_OTHER = 26 kgDM/m2,"AmeriFlux BADM (AMF_<site>_BIF, downloaded 2026-08-05)",verified,"26 kgDM/m2 = 260 ton DM/ha (total organic matter, not C alone). US_xRM assumes 300. Use to seed/validate the spin-up carbon pools."
US-Ha2,Axyl_H,15.0,cm^2 stem/m^2 PFT,Xylem (sapwood) area per unit ground area,plant_hydraulics,MEASURED AT SITE - inherited; cf. BADM GRP_SA: SA_MAX = 230 (units unstated),"AmeriFlux BADM (AMF_<site>_BIF, downloaded 2026-08-05)",needs_verification,BADM reports SA_MAX = 230 but the extract carries no unit. If that is cm2/m2 it is 15x the inherited 15.0 and implies a far larger transpiring xylem area. CHECK THE UNIT in the BIF file before using - this scales whole-canopy water transport.
US-Ha2,Slo_top,0,fraction dy/dx,Topographic slope at the surface,domain_geometry,"MEASURED AT SITE - BADM GRP_SITE_CHAR: TERRAIN = Flat, ASPECT = FLAT","AmeriFlux BADM (AMF_<site>_BIF, downloaded 2026-08-05)",verified,Confirms the flat plot-scale assumption holds here.
US-Ha2,aSE_H,0,-,"Plant type / phenology switch: 0 evergreen, 1 seasonal (deciduous), 2 grass, 3 crop",phenology,evergreen conifer (US_xRM),"MOD_PARAM_US_xRM.m (T&C evergreen conifer, US_xRM)",code_comment,Defines the site as evergreen; the single most important switch when reusing this set.
US-Ha2,CT_H,3,-,"Photosynthetic pathway: 3 = C3, 4 = C4",photosynthesis,evergreen conifer (US_xRM); identical in both reference files,"MOD_PARAM_US_xRM.m (T&C evergreen conifer, US_xRM)",formulation_origin,C3 for all conifers and temperate broadleaf trees.
US-Ha2,FI_H,0.081,umolCO2/umolPhotons,Intrinsic quantum efficiency of photosynthesis,photosynthesis,evergreen conifer (US_xRM); identical in both reference files,"MOD_PARAM_US_xRM.m (T&C evergreen conifer, US_xRM)",tc_model_description,
US-Ha2,Do_H,700,Pa,Vapour-pressure-deficit sensitivity parameter of stomatal conductance,photosynthesis,evergreen conifer (US_xRM),"MOD_PARAM_US_xRM.m (T&C evergreen conifer, US_xRM)",formulation_origin,Lower than the Low-vegetation value (2000 Pa): conifers close stomata at lower VPD.
US-Ha2,a1_H,5,-,Empirical slope relating stomatal conductance to assimilation,photosynthesis,evergreen conifer (US_xRM),"MOD_PARAM_US_xRM.m (T&C evergreen conifer, US_xRM)",formulation_origin,Code notes an alternative value of 9; 5 is conservative (water-saving).
US-Ha2,go_H,0.01,mol/(s m^2),Minimum (cuticular) stomatal conductance,photosynthesis,evergreen conifer (US_xRM); identical in both reference files,"MOD_PARAM_US_xRM.m (T&C evergreen conifer, US_xRM)",formulation_origin,
US-Ha2,DSE_H,0.649,kJ/(mol K),Entropy factor in the Vmax/Jmax temperature response,photosynthesis,evergreen conifer (US_xRM); identical in both reference files,"MOD_PARAM_US_xRM.m (T&C evergreen conifer, US_xRM)",tc_model_description,"RESOLVED: the code comment mislabels this as 'Activation Energy [kJ/mol]'. Table 3 lists DeltaS (entropy factor) as 0.625-0.665 kJ/(mol K) and 0.649 sits inside it, so the VALUE is correct and only the comment is wrong. Names/units are swapped with Ha_H in the source file."
US-Ha2,Ha_H,89,kJ/mol,Activation energy in the Vmax/Jmax temperature response,photosynthesis,evergreen conifer (US_xRM),"MOD_PARAM_US_xRM.m (T&C evergreen conifer, US_xRM)",tc_model_description,"RESOLVED: the code comment mislabels this as 'entropy factor [kJ/mol K]'. Table 3 lists Ha (activation energy) as 40-95 kJ/mol and 89 sits inside it. Value correct, comment wrong - swapped with DSE_H."
US-Ha2,gmes_H,Inf,mol CO2/(s m^2),Mesophyll conductance; Inf disables mesophyll limitation,photosynthesis,evergreen conifer (US_xRM); identical in both reference files,"MOD_PARAM_US_xRM.m (T&C evergreen conifer, US_xRM)",tc_model_description,Infinite = CO2 drawdown from intercellular space to chloroplast neglected.
US-Ha2,rjv_H,1.8,umol electrons/umolCO2,Ratio scaling Jmax to Vmax,photosynthesis,evergreen conifer (US_xRM),"MOD_PARAM_US_xRM.m (T&C evergreen conifer, US_xRM)",tc_model_description,
US-Ha2,Vmax_H,32,umolCO2/(m^2 s),Maximum Rubisco carboxylation capacity at 25 degC,photosynthesis,evergreen conifer (US_xRM),"MOD_PARAM_US_xRM.m (T&C evergreen conifer, US_xRM)",needs_verification,"Set DIRECTLY here - the Maximum_Rubisco_Capacity(Sl,PLNR,Nl) call is commented out. This is why dynamic LMA does NOT propagate to photosynthetic capacity (CLAUDE.md 1-2)."
US-Ha2,KnitH,0.35,-,Canopy nitrogen decay coefficient with cumulative LAI,photosynthesis,evergreen conifer (US_xRM),"MOD_PARAM_US_xRM.m (T&C evergreen conifer, US_xRM)",tc_model_description,Code retains an alternative commented value of 0.5.
US-Ha2,mSl_H,0.0,m^2 PFT/gC,Linear increase of specific leaf area with LAI,vegetation_structure,evergreen conifer (US_xRM); identical in both reference files,"MOD_PARAM_US_xRM.m (T&C evergreen conifer, US_xRM)",code_comment,Zero = SLA constant through the canopy.
US-Ha2,Psi_sto_00_H,-0.8,MPa,Water potential at incipient (2%) stomatal conductance loss,plant_hydraulics,evergreen conifer (US_xRM),"MOD_PARAM_US_xRM.m (T&C evergreen conifer, US_xRM)",tc_model_description,
US-Ha2,Psi_sto_50_H,-2.5,MPa,Water potential at 50% stomatal conductance loss,plant_hydraulics,evergreen conifer (US_xRM),"MOD_PARAM_US_xRM.m (T&C evergreen conifer, US_xRM)",tc_model_description,
US-Ha2,PsiL00_H,-1.0,MPa,Leaf water potential at incipient (2%) conductivity loss,plant_hydraulics,evergreen conifer (US_xRM),"MOD_PARAM_US_xRM.m (T&C evergreen conifer, US_xRM)",tc_model_description,
US-Ha2,PsiL50_H,-3.2,MPa,Leaf water potential at 50% conductivity loss,plant_hydraulics,evergreen conifer (US_xRM),"MOD_PARAM_US_xRM.m (T&C evergreen conifer, US_xRM)",tc_model_description,
US-Ha2,Kleaf_max_H,10,mmolH2O/(m^2 leaf s MPa),Maximum leaf hydraulic conductance,plant_hydraulics,evergreen conifer (US_xRM),"MOD_PARAM_US_xRM.m (T&C evergreen conifer, US_xRM)",tc_model_description,
US-Ha2,Cl_H,1200,mmolH2O/(m^2 leaf MPa),Leaf hydraulic capacitance,plant_hydraulics,evergreen conifer (US_xRM); identical in both reference files,"MOD_PARAM_US_xRM.m (T&C evergreen conifer, US_xRM)",code_comment,Code notes a plausible range of 500-3000.
US-Ha2,Kx_max_H,80000,mmolH2O/(m s MPa),Maximum xylem specific hydraulic conductivity,plant_hydraulics,evergreen conifer (US_xRM); identical in both reference files,"MOD_PARAM_US_xRM.m (T&C evergreen conifer, US_xRM)",code_comment,Code notes a range of 5550-555550.
US-Ha2,PsiX50_H,-5.0,MPa,Xylem water potential at 50% conductivity loss (P50),plant_hydraulics,proposed / overridden for this site,MOD_PARAM_US_xRM.m; cf. -3.5 for T&C temperate broadleaf (Zurich),needs_verification,"INHERITED, LIKELY TOO NEGATIVE. -5.0 is a boreal-spruce value; Tsuga canadensis is notably drought-sensitive and T&C's own temperate value is -3.5. Look up in Choat et al. (2012) before running - this controls simulated drought mortality."
US-Ha2,Cx_H,150,kg/(m^3 sapwood MPa),Xylem (sapwood) hydraulic capacitance,plant_hydraulics,evergreen conifer (US_xRM); identical in both reference files,"MOD_PARAM_US_xRM.m (T&C evergreen conifer, US_xRM)",tc_model_description,
US-Ha2,PsiG50_H,-0.8,MPa,Water potential at 50% reduction of growth/expansion,growth,evergreen conifer (US_xRM),"MOD_PARAM_US_xRM.m (T&C evergreen conifer, US_xRM)",tc_model_description,
US-Ha2,PsiG99_H,-2.5,MPa,Water potential at 99% reduction of growth/expansion,growth,evergreen conifer (US_xRM),"MOD_PARAM_US_xRM.m (T&C evergreen conifer, US_xRM)",tc_model_description,
US-Ha2,gcoef_H,3.5,gC/(m^2 day),Maximum growth (expansion) coefficient,growth,evergreen conifer (US_xRM); identical in both reference files,"MOD_PARAM_US_xRM.m (T&C evergreen conifer, US_xRM)",tc_model_description,
US-Ha2,r_H,0.055,gC/(gN d),Maintenance respiration rate at 10 degC per unit nitrogen,carbon_turnover,evergreen conifer (US_xRM),"MOD_PARAM_US_xRM.m (T&C evergreen conifer, US_xRM)",code_comment,Code notes a range of 0.011-0.066.
US-Ha2,gR_H,0.25,-,"Growth respiration fraction, Rg/(GPP-Rm)",carbon_turnover,evergreen conifer (US_xRM); identical in both reference files,"MOD_PARAM_US_xRM.m (T&C evergreen conifer, US_xRM)",code_comment,Code notes a range of 0.22-0.28.
US-Ha2,dd_max_H,1/200,1/d,Maximum drought-induced mortality rate (1/200),carbon_turnover,evergreen conifer (US_xRM),"MOD_PARAM_US_xRM.m (T&C evergreen conifer, US_xRM)",code_comment,Code notes a range of 0.005-0.025.
US-Ha2,dc_C_H,78/365,1/(d degC),Factor of increasing cold-induced mortality (78/365),carbon_turnover,evergreen conifer (US_xRM),"MOD_PARAM_US_xRM.m (T&C evergreen conifer, US_xRM)",needs_verification,"OUT OF PUBLISHED RANGE: 78/365 = 0.214 vs Table 3's 1/365-1/15 (0.0027-0.067), ~3x the upper bound. Largely moot at US_xRM because Tcold_H = -50 degC never triggers cold shedding, but it WOULD bite in a deciduous set where Tcold is active. Check before reuse."
US-Ha2,Tcold_H,-50,degC,Temperature threshold for cold-induced leaf shedding,phenology,evergreen conifer (US_xRM),"MOD_PARAM_US_xRM.m (T&C evergreen conifer, US_xRM)",code_comment,"Outside Table 3's -12 to +10 degC range DELIBERATELY: -50 degC is an off-switch, not a physical threshold, disabling cold shedding for an evergreen. A deciduous set must bring this back inside the published range."
US-Ha2,drn_H,1/800,1/d,Fine-root turnover rate (1/800),carbon_turnover,evergreen conifer (US_xRM),"MOD_PARAM_US_xRM.m (T&C evergreen conifer, US_xRM)",tc_model_description,
US-Ha2,dsn_H,1/600,1/d,Normal sapwood-to-heartwood transfer rate (1/600),carbon_turnover,evergreen conifer (US_xRM),"MOD_PARAM_US_xRM.m (T&C evergreen conifer, US_xRM)",tc_model_description,
US-Ha2,age_cr_H,1220,day,Critical leaf age (needle longevity),phenology,evergreen conifer (US_xRM),"MOD_PARAM_US_xRM.m (T&C evergreen conifer, US_xRM)",tc_model_description,~3.3 yr needle retention - a defining evergreen trait. Revisit per species (Pinus vs Picea vs Tsuga differ).
US-Ha2,Bfac_lo_H,0.99,-,Soil-water stress threshold for leaf onset,phenology,evergreen conifer (US_xRM),"MOD_PARAM_US_xRM.m (T&C evergreen conifer, US_xRM)",tc_model_description,
US-Ha2,Bfac_ls_H,NaN,-,Soil-water stress threshold for leaf shedding,phenology,evergreen conifer (US_xRM); identical in both reference files,"MOD_PARAM_US_xRM.m (T&C evergreen conifer, US_xRM)",code_comment,NaN = water-triggered shedding disabled for evergreen.
US-Ha2,Tlo_H,1.5,degC,Mean temperature threshold for leaf onset,phenology,evergreen conifer (US_xRM),"MOD_PARAM_US_xRM.m (T&C evergreen conifer, US_xRM)",tc_model_description,
US-Ha2,Tls_H,NaN NaN,degC,Mean temperature threshold for leaf shedding,phenology,carried from the evergreen table (not a scalar in the source file),MOD_PARAM_US_xRM.m,code_comment,NaN = disabled for evergreen.
US-Ha2,PAR_th_H,NaN,umol/(m^2 s),PAR threshold for phenological transition,phenology,evergreen conifer (US_xRM); identical in both reference files,"MOD_PARAM_US_xRM.m (T&C evergreen conifer, US_xRM)",code_comment,NaN = disabled.
US-Ha2,dmg_H,30,day,Day of maximum growth (tree = 30; grasses = 25),phenology,evergreen conifer (US_xRM),"MOD_PARAM_US_xRM.m (T&C evergreen conifer, US_xRM)",code_comment,
US-Ha2,LAI_min_H,0.001,m^2/m^2,Minimum allowed leaf area index,phenology,evergreen conifer (US_xRM),"MOD_PARAM_US_xRM.m (T&C evergreen conifer, US_xRM)",tc_model_description,
US-Ha2,Trr_H,0.5,gC/(m^2 d),Translocation rate from reserves,carbon_allocation,evergreen conifer (US_xRM),"MOD_PARAM_US_xRM.m (T&C evergreen conifer, US_xRM)",tc_model_description,
US-Ha2,mjDay_H,220,day of year,Maximum Julian day allowed for leaf onset,phenology,evergreen conifer (US_xRM),"MOD_PARAM_US_xRM.m (T&C evergreen conifer, US_xRM)",tc_model_description,Northern-hemisphere convention.
US-Ha2,LDay_min_H,14.1,h,Minimum day length for leaf onset,phenology,evergreen conifer (US_xRM),"MOD_PARAM_US_xRM.m (T&C evergreen conifer, US_xRM)",tc_model_description,Day-length thresholds are LATITUDE SENSITIVE - review when moving far from 40 degN.
US-Ha2,LtR_H,0.8,-,Maximum leaf-to-root allocation ratio,carbon_allocation,evergreen conifer (US_xRM),"MOD_PARAM_US_xRM.m (T&C evergreen conifer, US_xRM)",tc_model_description,
US-Ha2,Mf_H,1/50,1/d,Fruit maturation turnover rate (1/50),carbon_turnover,evergreen conifer (US_xRM); identical in both reference files,"MOD_PARAM_US_xRM.m (T&C evergreen conifer, US_xRM)",tc_model_description,
US-Ha2,Wm_H,0,1/d,Wood turnover coefficient,carbon_turnover,evergreen conifer (US_xRM),"MOD_PARAM_US_xRM.m (T&C evergreen conifer, US_xRM)",code_comment,Zero = no background wood mortality.
US-Ha2,eps_ac_H,0.8,-,Allocation-to-reserve parameter,carbon_allocation,evergreen conifer (US_xRM),"MOD_PARAM_US_xRM.m (T&C evergreen conifer, US_xRM)",tc_model_description,
US-Ha2,LDay_cr_H,11.8,h,Day-length threshold triggering senescence,phenology,evergreen conifer (US_xRM),"MOD_PARAM_US_xRM.m (T&C evergreen conifer, US_xRM)",tc_model_description,Latitude sensitive - see LDay_min_H.
US-Ha2,Klf_H,1/30,1/d,Dead-leaf fall turnover rate (1/30),carbon_turnover,evergreen conifer (US_xRM),"MOD_PARAM_US_xRM.m (T&C evergreen conifer, US_xRM)",tc_model_description,
US-Ha2,fab_H,0.74,-,Fraction of sapwood and reserves allocated above ground,carbon_allocation,evergreen conifer (US_xRM); identical in both reference files,"MOD_PARAM_US_xRM.m (T&C evergreen conifer, US_xRM)",tc_model_description,fab_H + fbe_H must equal 1.
US-Ha2,fbe_H,0.26,-,Fraction of sapwood and reserves allocated below ground,carbon_allocation,evergreen conifer (US_xRM); identical in both reference files,"MOD_PARAM_US_xRM.m (T&C evergreen conifer, US_xRM)",tc_model_description,
US-Ha2,ff_r_H,0.1,-,Reference allocation fraction to fruit and reproduction,carbon_allocation,evergreen conifer (US_xRM); identical in both reference files,"MOD_PARAM_US_xRM.m (T&C evergreen conifer, US_xRM)",tc_model_description,
US-Ha2,d_leaf_H,0.25,cm,Characteristic leaf dimension (needle width) for the boundary layer,canopy_structure,evergreen conifer (US_xRM),"MOD_PARAM_US_xRM.m (T&C evergreen conifer, US_xRM)",tc_model_description,Needle-scale; the Low/broadleaf value is 0.8 cm.
US-Ha2,Sp_LAI_H_In,0.1,mm/LAI,Specific rainfall interception storage per unit LAI,interception,evergreen conifer (US_xRM),"MOD_PARAM_US_xRM.m (T&C evergreen conifer, US_xRM)",tc_model_description,
US-Ha2,OM_H,1,-,Organic-matter / leaf-clumping-related optical multiplier,canopy_optics,evergreen conifer (US_xRM); identical in both reference files,"MOD_PARAM_US_xRM.m (T&C evergreen conifer, US_xRM)",needs_verification,
US-Ha2,PFT_opt_H,Veg_Optical_Parameter(1),-,Leaf/stem optical property set; class 2 = NET Boreal (needleleaf evergreen tree),canopy_optics,proposed / overridden for this site,Veg_Optical_Parameter.m class 1 = NET temperate; Oleson et al. (2010) CLM4,tc_source_code,"US_xRM uses class 2 (NET Boreal). Classes 1-3 are NUMERICALLY IDENTICAL in Veg_Optical_Parameter.m, so this changes nothing quantitatively - it just labels a temperate site correctly."
US-Ha2,CASE_ROOT,1,-,Root vertical profile type; 1 = exponential,roots,evergreen conifer (US_xRM); identical in both reference files,"MOD_PARAM_US_xRM.m (T&C evergreen conifer, US_xRM)",tc_source_code,"Options in Root_Fraction_General.m: 1 exponential, 2 linear dose response, 3 constant, 4 deep/tap."
US-Ha2,ZR95_H,800,mm,Rooting depth containing 95% of roots,roots,evergreen conifer (US_xRM),"MOD_PARAM_US_xRM.m (T&C evergreen conifer, US_xRM)",needs_verification,"PFT value FOR NOW, to be overwritten if site data appear. HARD CONSTRAINT: ZR95_H must be <= the deepest soil layer (Zs end), or Root_Fraction_General aborts."
US-Ha2,ZR50_H,NaN,mm,Rooting depth containing 50% of roots,roots,evergreen conifer (US_xRM); identical in both reference files,"MOD_PARAM_US_xRM.m (T&C evergreen conifer, US_xRM)",code_comment,Unused when CASE_ROOT = 1.
US-Ha2,ZRmax_H,NaN,mm,Maximum rooting depth,roots,evergreen conifer (US_xRM); identical in both reference files,"MOD_PARAM_US_xRM.m (T&C evergreen conifer, US_xRM)",code_comment,Unused when CASE_ROOT = 1.
US-Ha2,Vx_H,10,mm/m^2 PFT,Maximum xylem water storage volume,plant_hydraulics,evergreen conifer (US_xRM),"MOD_PARAM_US_xRM.m (T&C evergreen conifer, US_xRM)",tc_model_description,
US-Ha2,Vl_H,10,mm/m^2 PFT,Maximum leaf water storage volume,plant_hydraulics,evergreen conifer (US_xRM),"MOD_PARAM_US_xRM.m (T&C evergreen conifer, US_xRM)",tc_model_description,
US-Ha2,ParEx_H,Exudation_Parameter(1),-,Root exudation parameter set (1 = active),biogeochemistry,carried from the evergreen table (not a scalar in the source file),Fatichi et al. (2012a),needs_verification,Only relevant when OPT_SoilBiogeochemistry = 1.
US-Ha2,Mpar_H,Vegetation_Management_Parameter,-,Vegetation management parameter set (defaults = unmanaged),management,carried from the evergreen table (not a scalar in the source file),Fatichi et al. (2012a),tc_model_description,Revisit for managed/harvested sites flagged by BADM disturbance records.
US-Ha2,Kct,0.75,-,Vegetation cover factor for throughfall partitioning,interception,evergreen conifer (US_xRM); identical in both reference files,"MOD_PARAM_US_xRM.m (T&C evergreen conifer, US_xRM)",tc_model_description,
US-Ha2,gcI,3.7,1/mm,Interception storage decay coefficient,interception,evergreen conifer (US_xRM); identical in both reference files,"MOD_PARAM_US_xRM.m (T&C evergreen conifer, US_xRM)",tc_model_description,
US-Ha2,KcI,0.06,mm,Interception drainage coefficient,interception,evergreen conifer (US_xRM); identical in both reference files,"MOD_PARAM_US_xRM.m (T&C evergreen conifer, US_xRM)",code_comment,
US-Ha2,Sp_SN_In,5.9,mm/LAI,Specific snow interception storage per unit LAI,interception,evergreen conifer (US_xRM); identical in both reference files,"MOD_PARAM_US_xRM.m (T&C evergreen conifer, US_xRM)",tc_model_description,Important at snowy sites: controls canopy snow load and sublimation.
US-Ha2,Sllit,2,m^2 litter/kg DM,Litter specific leaf area,litter,carried from the evergreen table (not a scalar in the source file),Fatichi et al. (2012a),tc_model_description,
US-Ha2,ExEM,1.0,-,Ectomycorrhizal / exudation exchange fraction,biogeochemistry,carried from the evergreen table (not a scalar in the source file),Fatichi et al. (2012a),needs_verification,
US-Ha2,Ccrown,1.0,-,Crown area fraction of the vegetation patch,land_cover,carried from the evergreen table (not a scalar in the source file),MOD_PARAM_US_xRM.m,code_comment,1.0 = single PFT covering the whole plot; correct for closed-canopy forest.
US-Ha2,Cwat,0,-,Water-covered fraction of the cell,land_cover,carried from the evergreen table (not a scalar in the source file),MOD_PARAM_US_xRM.m,code_comment,
US-Ha2,Curb,0,-,Urban fraction of the cell,land_cover,carried from the evergreen table (not a scalar in the source file),MOD_PARAM_US_xRM.m,code_comment,
US-Ha2,Crock,0,-,Rock fraction of the cell,land_cover,carried from the evergreen table (not a scalar in the source file),MOD_PARAM_US_xRM.m,code_comment,
US-Ha2,Cbare,0,-,Bare-soil fraction of the cell,land_cover,carried from the evergreen table (not a scalar in the source file),MOD_PARAM_US_xRM.m,code_comment,
US-Ha2,TminS,-0.8,degC,Air temperature below which precipitation falls entirely as snow,snow_physics,carried from the evergreen table (not a scalar in the source file),Fatichi et al. (2012a),tc_model_description,
US-Ha2,TmaxS,2.8,degC,Air temperature above which precipitation falls entirely as rain,snow_physics,carried from the evergreen table (not a scalar in the source file),Fatichi et al. (2012a),tc_model_description,
US-Ha2,ros_max1,550,kg/m^3,Maximum snow density (parameter set 1),snow_physics,carried from the evergreen table (not a scalar in the source file),Fatichi et al. (2012a),tc_model_description,Code retains an alternative commented value of 600.
US-Ha2,ros_max2,260,kg/m^3,Maximum snow density (parameter set 2),snow_physics,carried from the evergreen table (not a scalar in the source file),Fatichi et al. (2012a),tc_model_description,Code retains an alternative commented value of 450.
US-Ha2,Th_Pr_sno,10.0,mm/day,Snowfall intensity threshold defining a new snowfall event,snow_physics,carried from the evergreen table (not a scalar in the source file),MOD_PARAM_US_xRM.m,code_comment,
US-Ha2,Ice_wc_sp,0.01,-,Specific maximum liquid water content of ice,ice_physics,carried from the evergreen table (not a scalar in the source file),MOD_PARAM_US_xRM.m,code_comment,
US-Ha2,ros_Ice_thr,500,kg/m^3,Snow density threshold for transformation into ice,ice_physics,carried from the evergreen table (not a scalar in the source file),MOD_PARAM_US_xRM.m,code_comment,
US-Ha2,Aice,0.35,-,Ice albedo,ice_physics,carried from the evergreen table (not a scalar in the source file),MOD_PARAM_US_xRM.m,code_comment,
