variable,value,units,description,category,layer,active_at_US_xRM,typical_range_fatichi2012,source,source_confidence,notes
dsn_L,0.0027397,1/d,Sapwood transfer rate (1/365) - Low layer,carbon_turnover,L,no,d_sapw: 1/2500-1/365 = 0.0004-0.0027,MOD_PARAM_US_xRM.m,code_comment,Low layer inactive.
age_cr_L,180,day,Critical leaf age - Low layer,phenology,L,no,Acr: 50-1500 day,MOD_PARAM_US_xRM.m,code_comment,Low layer inactive.
Bfac_lo_L,0.99,-,Leaf onset water stress - Low layer,phenology,L,no,beta_LO: 0.7-1,MOD_PARAM_US_xRM.m,code_comment,Low layer inactive.
Bfac_ls_L,NaN,-,Leaf shed water stress - Low layer,phenology,L,no,,MOD_PARAM_US_xRM.m,code_comment,Low layer inactive.
Tlo_L,6.0,degC,Mean temperature for leaf onset - Low layer,phenology,L,no,,MOD_PARAM_US_xRM.m,code_comment,Low layer inactive.
Tls_L,NaN,degC,Mean temperature for leaf shed - Low layer,phenology,L,no,,MOD_PARAM_US_xRM.m,code_comment,Low layer inactive.
PAR_th_L,NaN,umol/(m^2 s),PAR threshold - Low layer,phenology,L,no,,MOD_PARAM_US_xRM.m,code_comment,Low layer inactive.
dmg_L,25,day,Day of maximum growth - Low layer,phenology,L,no,dMG: 15-40 day,MOD_PARAM_US_xRM.m,code_comment,Grass value.
LAI_min_L,0.1,m^2/m^2,Minimum LAI - Low layer,phenology,L,no,LAImin: 0.001-0.05,MOD_PARAM_US_xRM.m,code_comment,Low layer inactive.
Trr_L,4.0,gC/(m^2 d),Translocation rate - Low layer,carbon_allocation,L,no,TrC: 0.2-6 gC/(m2 d),MOD_PARAM_US_xRM.m,code_comment,Low layer inactive.
mjDay_L,220,day of year,Maximum Julian day for leaf onset - Low layer,phenology,L,no,,MOD_PARAM_US_xRM.m,code_comment,Low layer inactive.
LDay_min_L,NaN,h,Minimum day length for leaf onset - Low layer,phenology,L,no,,MOD_PARAM_US_xRM.m,code_comment,Low layer inactive.
LtR_L,0.8,-,Leaf-to-root ratio - Low layer,carbon_allocation,L,no,Rltr: 0.25-1.5,MOD_PARAM_US_xRM.m,code_comment,Low layer inactive.
Mf_L,NaN,1/d,Fruit maturation turnover - Low layer,carbon_turnover,L,no,,MOD_PARAM_US_xRM.m,code_comment,Low layer inactive.
Wm_L,NaN,1/d,Wood turnover - Low layer,carbon_turnover,L,no,,MOD_PARAM_US_xRM.m,code_comment,Low layer inactive.
eps_ac_L,0.5,-,Allocation to reserve - Low layer,carbon_allocation,L,no,eps_al: 0-1,MOD_PARAM_US_xRM.m,code_comment,Low layer inactive.
LDay_cr_L,11.5,h,Senescence day-length threshold - Low layer,phenology,L,no,"DLH,SE: 10-13 h",MOD_PARAM_US_xRM.m,code_comment,Low layer inactive.
Klf_L,NaN,1/d,Dead-leaf fall turnover - Low layer,carbon_turnover,L,no,,MOD_PARAM_US_xRM.m,code_comment,Low layer inactive.
fab_L,NaN,-,Above-ground sapwood fraction - Low layer,carbon_allocation,L,no,,MOD_PARAM_US_xRM.m,code_comment,Low layer inactive.
fbe_L,NaN,-,Below-ground sapwood fraction - Low layer,carbon_allocation,L,no,,MOD_PARAM_US_xRM.m,code_comment,Low layer inactive.
ff_r_L,NaN,-,Fruit/reproduction allocation - Low layer,carbon_allocation,L,no,,MOD_PARAM_US_xRM.m,code_comment,Low layer inactive.
ZR50_L,NaN,mm,Rooting depth (50%) - Low layer,roots,L,no,,MOD_PARAM_US_xRM.m,code_comment,Low layer inactive.
ZRmax_L,NaN,mm,Maximum rooting depth - Low layer,roots,L,no,,MOD_PARAM_US_xRM.m,code_comment,Low layer inactive.
Vx_L,10,mm/m^2 PFT,Xylem water storage - Low layer,plant_hydraulics,L,no,,MOD_PARAM_US_xRM.m,code_comment,Low layer inactive.
Vl_L,10,mm/m^2 PFT,Leaf water storage - Low layer,plant_hydraulics,L,no,,MOD_PARAM_US_xRM.m,code_comment,Low layer inactive.
OM_L,1,-,Optical multiplier - Low layer,canopy_optics,L,no,,MOD_PARAM_US_xRM.m,code_comment,Low layer inactive.
PFT_opt_L,Veg_Optical_Parameter(0),-,Optical property set - Low layer; class 0 returns NaN (disabled),canopy_optics,L,no,chiL / alpha_L / tau_L: chiL -0.30 to 0.25; refl 0.07-0.58; transm 0.001-0.38,Veg_Optical_Parameter.m,tc_source_code,PFT_Class <= 0 returns NaN optics - confirms the Low layer is switched off.
ParEx_L,Exudation_Parameter(0),-,Root exudation parameter set - Low layer (0 = inactive),biogeochemistry,L,no,,Exudation_Parameter.m,tc_source_code,Low layer inactive.
Mpar_L,Vegetation_Management_Parameter,-,Management parameter set - Low layer,management,L,no,,MOD_PARAM_US_xRM.m,code_comment,Low layer inactive.
